address,name,description,price,daily_volume,market_cap,holders,initials
0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa,Orbs (ORBS),"Orbs is a public blockchain built for the needs of apps with millions of users, from SLAs to adjustable fee models to on-demand capacity.",$0.0105,"$163,329","$20,434,395","6,397",ORBS
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,Bancor (BNT),Bancor Protocol is a standard for a new generation of cryptocurrencies called Smart Tokens,$0.3186,"$4,643,607","$19,896,961","22,582",BNT
0x595832f8fc6bf59c85c527fec3740a1b7a361269,PowerLedger (POWR),Power Ledger is a peer-to-peer marketplace for renewable energy.,$0.0464,"$428,209","$19,528,400","48,293",POWR
0x12b306fa98f4cbb8d4457fdff3a0a0a56f07ccdf,Spectre.ai D-Token (SXDT),Broker-less financial trading platform.,$0.2333,$14,"$19,143,996","4,864",SXDT
0x618e75ac90b12c6049ba3b27f5d5f8651b0037f6,QASH (QASH),"We envision QASH to be the preferred payment token for financial services,
like the Bitcoin for financial services.
As more financial institutions, fintech startups and partners adopt QASH
as a method of payment, the utility of QASH will scale, fueling
the Fintech revolution.",$0.0544,"$223,148","$19,032,824","12,790",QASH
0xe884cc2795b9c45beeac0607da9539fd571ccf85,Ultiledger (ULT),"Credit circulation, Asset circulation, Value circulation. The next generation global self-financing blockchain protocol.",$0.0295,"$6,108,632","$18,999,376","8,968",ULT
0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,EthLend (LEND),Aave is a fintech startup behind ETHLend project. The products offered are a decentralized P2P marektplace and an app allowing to cash out crypto (Aave Pay),$0.0166,"$963,329","$18,699,787","163,746",LEND
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,Storj (STORJ),"Blockchain-based, end-to-end encrypted, distributed object storage, where only you have access to your data",$0.1342,"$2,562,205","$18,216,107","66,770",STORJ
0x3597bfd533a99c9aa083587b074434e61eb0a258,DENT (DENT),Aims to disrupt the mobile operator industry by creating an open marketplace for buying and selling of mobile data.,$0.0002,"$276,741","$18,191,807","28,403",DENT
0x4fabb145d64652a948d72533023f6e7a623c7c53,Binance USD (BUSD),"Binance USD (BUSD) is a dollar-backed stablecoin issued and custodied by Paxos Trust Company, and regulated by the New York State Department of Financial Services. BUSD is available directly for sale 1:1 with USD on Paxos.com and will be listed for trading on Binance.",$1.0124,"$7,142,656","$18,100,863",109,BUSD
0xF433089366899D83a9f26A773D59ec7eCF30355e,Metal (MTL),Transfer money instantly around the globe with nothing more than a phone number. Earn rewards every time you spend or make a purchase. Ditch the bank and go digital.,$0.3411,"$4,942,095","$18,070,786","9,381",MTL
0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,SAN (SAN),"A Better Way to Trade Crypto-Markets - Market Datafeeds, Newswires, and Crowd Sentiment Insights for the Blockchain World",$0.2829,$529,"$17,723,797","2,123",SAN
0x6810e776880c02933d47db1b9fc05908e5386b96,Gnosis (GNO),Crowd Sourced Wisdom - The next generation blockchain network. Speculate on anything with an easy-to-use prediction market,$15.9326,"$20,873","$17,598,966","10,626",GNO
0x1410434b0346f5be678d0fb554e5c7ab620f8f4a,KAN (KAN),A decentralized cryptocurrency-concentrated & content payment community.,$0.0028,"$7,758,675","$17,189,028","53,885",KAN
0x574f84108a98c575794f75483d801d1d5dc861a5,Robotina token (ROX),"Internet of things, artificial intelligence and blockchain empowering energy consumers",$0.0562,"$116,302","$17,078,489","5,251",ROX
0xb683d83a532e2cb7dfa5275eed3698436371cc9f,BTU Protocol (BTU),Decentralized Booking Protocol,$0.2419,"$7,472","$16,934,417","1,693",BTU
0xb3104b4b9da82025e8b9f8fb28b3553ce2f67069,BIX Token (BIX),AI Enhanced Encrypted Digital Asset Exchange.,$0.1503,"$2,806,351","$16,108,551","10,675",BIX
0x46b9ad944d1059450da1163511069c718f699d31,CREDITS (CS),CREDITS is an open blockchain platform with autonomous smart contracts and the internal cryptocurrency. The platform is designed to create services for blockchain systems using self-executing smart contracts and a public data registry.,$0.0852,"$2,606,215","$15,841,389","21,797",CS
