,BTC_close,BTC_high,BTC_low,time,BTC_volume,_BTC_RETURNS,_TO_EXCHANGE_TRANSACTIONS,_FROM_EXCHANGE_TRANSACTIONS,_ONCHAIN_TRANSACTIONS,_ONCHAIN_VOLUME,close,high,low,volume,_RETURNS,_INTERCEPT,_REALIZED_VOL,_VOL_PROXY,_NEGATIVE_RETURNS,_BTC_REALIZED_VOL,_BTC_VOL_PROXY,_BTC_NEGATIVE_RETURNS
31,7852.73,8333.97,7734.03,2018-03-17,524896896.19,-0.0545818946833041,27,151,178,2.885674619720938e+24,1.804e-05,1.823e-05,1.753e-05,258.44,0.021289319458663414,1,33.79574692165942,4.532351230130247,0,86.64607165124457,29.791832272193002,1
32,8185.36,8276.15,7325.29,2018-03-18,754529665.42,0.04148595071468009,29,115,144,2.685890699627926e+24,1.705e-05,1.8100000000000003e-05,1.601e-05,326.21,-0.05644131090495108,1,89.59780339498813,31.8562157666935,1,65.85690509647387,17.21084106700865,0
33,8605.83,8687.14,8098.83,2018-03-19,783747456.21,0.05009268780964504,29,178,207,4.334395829366599e+24,1.719e-05,1.809e-05,1.621e-05,276.69,0.008177615665232452,1,12.981562420601861,0.6687339796825519,0,79.5196766682707,25.092773719945612,0
34,8900.25,9025.0,8299.26,2018-03-20,721404910.5,0.03363948567015562,34,164,198,6.689350719552411e+24,1.74e-05,1.845e-05,1.626e-05,284.22,0.012142386825724216,1,19.27544151816974,1.4743755782552102,0,53.40102798921269,11.316149961526055,0
35,8891.06,9166.56,8757.14,2018-03-21,667191372.44,-0.0010330887177332215,33,153,186,5.485770227403494e+24,1.733e-05,1.834e-05,1.673e-05,289.26,-0.00403110249296823,1,6.399176823484659,0.1624978730881468,1,1.639977497634238,0.010672722987076718,1
36,8720.95,9096.24,8477.35,2018-03-22,625438516.54,-0.019318100572540686,18,154,172,2.9257615447288676e+24,1.703e-05,1.756e-05,1.636e-05,294.28,-0.01746260905291841,1,27.72103247781917,3.04942714935068,1,30.666533950246595,3.731890097307968,1
37,8900.6,8907.32,8280.96,2018-03-23,588247060.66,0.020390513255145848,32,99,131,3.433417043312149e+24,1.697e-05,1.793e-05,1.644e-05,323.68,-0.0035294154284617463,1,5.602773298287143,0.12456773266663812,1,32.368936306850784,4.157730308082785,0
38,8536.09,8993.71,8500.14,2018-03-24,512749209.67,-0.04181563267209221,56,108,164,2.664026652564797e+24,1.689e-05,1.749e-05,1.648e-05,259.68,-0.004725348426426024,1,7.501258076672439,0.22328917751126898,1,66.38025897911083,17.485471357673454,1
39,8462.25,8657.85,8368.35,2018-03-25,432987663.76,-0.008687961819472179,10,103,113,1.3631730859003405e+24,1.706e-05,1.754e-05,1.67e-05,292.37,0.010014811243824084,1,15.89801998704753,1.002964442494253,0,13.791711824608674,0.7548068057660633,1
40,8129.52,8505.58,7846.01,2018-03-26,620881326.54,-0.04011321447817906,47,84,131,4.116740858640492e+24,1.612e-05,1.718e-05,1.573e-05,323.28,-0.05667580498504954,1,89.97005120690345,32.121468707033664,1,63.67775387799425,16.090699757723943,1
