,BTC_close,BTC_high,BTC_low,time,BTC_volume,_BTC_RETURNS,_TO_EXCHANGE_TRANSACTIONS,_FROM_EXCHANGE_TRANSACTIONS,_ONCHAIN_TRANSACTIONS,_ONCHAIN_VOLUME,close,high,low,volume,_RETURNS,_INTERCEPT,_REALIZED_VOL,_VOL_PROXY,_NEGATIVE_RETURNS,_BTC_REALIZED_VOL,_BTC_VOL_PROXY,_BTC_NEGATIVE_RETURNS
59,5478.04,5922.66,5450.58,2017-10-24,14677180.79,-0.07663422853285873,57,137,194,3.9265072776854893e+24,3.659e-05,3.775e-05,3.229999999999999e-05,187.21,0.12130796187766002,1,192.57041950823432,147.15621614911817,0,121.65306636794175,58.72804982826419,1
60,5690.13,5705.05,5287.76,2017-10-25,12604545.24,0.03798572222818386,101,211,312,6.642468202019534e+24,3.434e-05,3.747e-05,3.379e-05,96.5,-0.06346412356178632,1,100.7461728714963,40.27694979465682,1,60.300464632172144,14.429150931967413,0
61,5879.22,5939.44,5650.23,2017-10-26,11521129.1,0.032691005072690515,72,145,217,4.4310246960588104e+24,3.266e-05,3.538e-05,3.247e-05,79.02,-0.0501597679270116,1,79.62616305334987,25.160023184916618,1,51.89536171865521,10.68701812662677,0
62,5748.65,5979.91,5650.85,2017-10-27,8268317.03,-0.022459055415303908,50,116,166,1.3986352266305346e+24,3.333e-05,3.403e-05,3.178e-05,75.1,0.02030680477733071,1,32.23605321789072,4.123663202646214,0,35.65264518618723,5.044091701476918,1
63,5704.35,5850.01,5630.82,2017-10-28,7380377.39,-0.007736002956484356,52,126,178,3.259506347546741e+24,3.371e-05,3.412e-05,3.211e-05,51.63,0.011336636926319699,1,17.99635320652644,1.2851933679919534,0,12.280523978711116,0.5984574174273469,1
64,6169.57,6189.81,5648.81,2017-10-29,10729847.43,0.07840010175201861,38,103,141,2.3549838921109398e+24,3.131e-05,3.516e-05,3.095e-05,157.46,-0.0738569939076541,1,117.24434307748078,54.54855549075255,1,124.45630319879923,61.465759547268725,0
65,6120.49,6248.22,6030.25,2017-10-30,9114408.68,-0.007986984751694237,73,124,197,2.875791485293322e+24,3.076e-05,3.229999999999999e-05,3.0299999999999998e-05,67.49,-0.01772239070087167,1,28.133423059217105,3.140831321543427,1,12.678945226947242,0.6379192542379626,1
66,6462.23,6496.92,6100.13,2017-10-31,9585107.13,0.054332300786009924,40,134,174,2.6035594098458e+24,2.647e-05,3.086e-05,2.616e-05,98.63,-0.15020312839843264,1,238.44007433169477,225.6097978067604,1,86.24985362264394,29.519989087014547,0
67,6738.45,6773.91,6338.54,2017-11-01,11006670.67,0.04185546868591494,80,128,208,2.7169797874412333e+24,2.489e-05,3.2200000000000003e-05,2.484e-05,274.18,-0.0615458998595102,1,97.70108714636791,37.878977895168575,1,66.44349669058865,17.51880258917606,0
68,7020.09,7299.76,6686.94,2017-11-02,17358851.58,0.0409461103177815,178,561,735,1.7641590287465778e+25,2.423e-05,2.638e-05,2.123e-05,159.57,-0.026874581551066257,1,42.66207562382748,7.222431335449108,1,64.99993503376095,16.765839501559327,0
69,7115.68,7345.67,6923.4,2017-11-03,13627180.01,0.013524761240336858,260,363,623,7.3032035928443e+24,2.475e-05,2.599e-05,2.301e-05,104.71,0.021233954186264725,1,33.70785727643758,4.508808103843893,0,21.46989287007284,1.8291916660811818,0
70,7357.39,7479.68,6902.89,2017-11-04,10170448.4,0.03340445057448527,114,261,375,4.236848734787924e+24,2.485e-05,2.696e-05,2.404e-05,102.42,0.004032263527939506,1,6.401019909360653,0.1625914915875115,0,53.02792134170367,11.15857318183229,0
71,7345.8,7589.89,7280.06,2017-11-05,9075373.36,-0.0015765289573916874,78,188,266,3.771812330116911e+24,2.372e-05,2.51e-05,2.322e-05,69.59,-0.046539178413112836,1,73.87865538141759,21.658951273675477,1,2.5026621335719503,0.02485443553494521,1
72,6960.06,7401.1,6906.5,2017-11-06,12795925.9,-0.053940626326962615,62,183,245,2.0561796963449136e+24,2.567e-05,2.664e-05,2.362e-05,86.07,0.07900442075352387,1,125.41562987312128,62.41698498599834,0,85.62808969452304,29.095911685450123,1
73,7063.44,7198.1,6902.93,2017-11-07,10267254.05,0.014744089962201556,67,121,188,5.625996300649842e+24,2.832e-05,2.917e-05,2.502e-05,124.55,0.09824527394246907,1,155.95953740351382,96.52133852030792,0,23.40551720876792,2.173881888134927,0
74,7304.13,7768.03,6658.35,2017-11-08,20441142.29,0.03350775663984251,109,279,388,8.454429142108298e+24,2.957e-05,3.172e-05,2.572e-05,169.87,0.043192065038867966,1,68.56527762250137,18.655544823218005,0,53.1919146364201,11.227697550349099,0
75,7080.19,7390.98,7016.28,2017-11-09,13900908.56,-0.031139198097132947,68,226,294,3.9430566028798013e+24,3.276e-05,3.464e-05,2.9299999999999997e-05,193.29,0.10244792512048306,1,162.6310393220185,104.95577361492104,0,49.43194451459378,9.696496581324881,1
76,6496.8,7278.91,6258.88,2017-11-10,22108781.95,-0.08599099551767253,154,256,410,8.051946641441061e+24,2.983e-05,3.366e-05,2.906e-05,170.3,-0.09369366045821259,1,148.73407499745207,87.7850201005883,1,136.50647347837977,73.94451310120377,1
77,6246.5,6797.27,6100.8,2017-11-11,17547392.3,-0.03928844109631768,181,220,401,6.389115873899685e+24,3.018e-05,3.295e-05,2.949e-05,102.09,0.011664854813046688,1,18.517382948996072,1.3606883780945849,0,62.36846672415918,15.435816037788243,1
78,5849.6,6625.51,5329.37,2017-11-12,29590445.97,-0.06564802405210735,86,114,200,1.8949972100964308e+24,3.209e-05,3.266e-05,2.839e-05,187.48,0.061365001782062834,1,97.41392035102406,37.656634437125746,0,104.21300742279828,43.09663061946065,1
79,6471.84,6695.66,5705.11,2017-11-13,16347600.29,0.1010871747340989,132,160,292,3.9076226534226284e+24,3.048e-05,3.491e-05,2.8999999999999997e-05,179.28,-0.05147372430332098,1,81.71200413653162,26.49544293654297,1,160.47091505073297,102.18616895722242,0
80,6574.69,6683.99,6311.69,2017-11-14,8282930.08,0.01576697109160108,75,112,187,5.163426241585059e+24,2.995e-05,3.116e-05,2.903e-05,108.54,-0.017541406256986747,1,27.846119161404314,3.077009334726538,1,25.029290662274363,2.485973774033841,0
81,7248.57,7296.31,6574.66,2017-11-15,12610261.4,0.09757677936929454,116,122,238,7.923699072356851e+24,2.725e-05,3.024e-05,2.652e-05,134.28,-0.0944758034522053,1,149.97568850853156,89.25677437939727,1,154.89833516746313,95.21227872083985,0
82,7862.92,7937.51,7077.56,2017-11-16,17580214.78,0.08135383069123492,74,136,210,3.5581127516004155e+24,2.448e-05,2.768e-05,2.308e-05,141.49,-0.10719706346512758,1,170.1700627230817,114.91210415546591,1,129.14520252687564,66.18445768138116,0
83,7700.25,7987.39,7452.79,2017-11-17,30810569.11,-0.020905242858821893,88,113,201,3.217445125025645e+24,2.541e-05,2.542e-05,2.313e-05,95.37,0.037286339687947034,1,59.190229268512006,13.902711273249741,0,33.18604422111019,4.370291789863238,1
